crop,region,observed_rows,low_yield_rate,mean_yield_t_ha,mean_shortfall
Barley,New South Wales,165,0.21212121212121213,1.855477971229207,-0.12420629550278293
Barley,Queensland,165,0.24242424242424243,1.6891662643152676,-0.05764278046066525
Barley,South Australia,165,0.15151515151515152,1.964148523701403,-0.08574076667418176
Barley,Tasmania,165,0.18181818181818182,3.230291398023645,-0.221201899968768
Barley,Victoria,165,0.24242424242424243,1.9437979517665933,-0.07600841378351168
Barley,Western Australia,165,0.09090909090909091,1.988030503625692,-0.13714940317406094
Canola,New South Wales,165,0.18181818181818182,1.3156884911269546,-0.14779593343366243
Canola,Queensland,150,0.3,0.7768532884418066,-0.018382793560762667
Canola,South Australia,165,0.15151515151515152,1.3944702355065453,-0.11871704755880998
Canola,Tasmania,165,0.18181818181818182,1.6109827854704948,-0.18467090307456616
Canola,Victoria,165,0.15151515151515152,1.3586163371520341,-0.11791216288973203
Canola,Western Australia,165,0.06060606060606061,1.1473912411162026,-0.051278367287535744
Lupins,New South Wales,165,0.18181818181818182,1.1158367547636099,-0.06012572403340989
Lupins,Queensland,120,0.2916666666666667,1.2363635578283927,0.10320199064236517
Lupins,South Australia,165,0.21212121212121213,1.179583490104568,0.01859144256606138
Lupins,Tasmania,105,0.3333333333333333,1.817069094387211,-0.1482853240255539
Lupins,Victoria,165,0.15151515151515152,0.9852545092819017,-0.06515452159453472
Lupins,Western Australia,165,0.15151515151515152,1.2288456137658683,-0.09488692482514201
Oats,New South Wales,165,0.18181818181818182,1.1853266359547603,-0.07439036098471936
Oats,Queensland,165,0.2727272727272727,0.6270587394968375,-0.014128694816718785
Oats,South Australia,165,0.18181818181818182,1.3658458921710992,-0.07710075383345898
Oats,Tasmania,165,0.15151515151515152,1.9763084190518094,-0.11323725012287765
Oats,Victoria,165,0.2727272727272727,1.8786134849375515,-0.07363485441549619
Oats,Western Australia,165,0.12121212121212122,1.943774112794592,-0.08309806192518829
Wheat,New South Wales,165,0.24242424242424243,1.917247135001082,-0.10575362951431345
Wheat,Queensland,165,0.21212121212121213,1.492972691094543,0.0618686192776385
Wheat,South Australia,165,0.15151515151515152,1.7814577517287813,-0.11389707417422104
Wheat,Tasmania,165,0.18181818181818182,4.311853131217602,-0.36681205832566155
Wheat,Victoria,165,0.24242424242424243,2.018528826787571,-0.18275916515511098
Wheat,Western Australia,165,0.06060606060606061,1.7190851456301217,-0.1012182961679855
