forecast_window,model,coverage,width,pinball_p10,pinball_p50,pinball_p90,n_test,qhat,validation_rmse_model
May-Jun,SklearnQuantileGBR,0.33557046979865773,0.916909927724739,0.12884862829813404,0.31536081717289444,0.25098038793422006,149,,
May-Jun,LightGBMQuantile,0.21476510067114093,0.6933557221207106,0.1395863053542122,0.30909923336455425,0.2799030757391607,149,,
May-Jun,CatBoostQuantile,0.33557046979865773,0.8180982534933866,0.12236908285675725,0.30459492215292316,0.26754694855615324,149,,
May-Jun,ConformalBestPoint_ElasticNet,0.7986577181208053,1.56468844398832,0.10660735893087198,0.27244548725496376,0.14170729033283455,149,0.7823442219941601,0.5799613265259175
May-Jul,SklearnQuantileGBR,0.5033557046979866,1.035495776479107,0.10235004972790354,0.2982605206801325,0.24384032898037022,149,,
May-Jul,LightGBMQuantile,0.28859060402684567,0.7485905383368631,0.11215049427587524,0.2920763307363755,0.2709890828382502,149,,
May-Jul,CatBoostQuantile,0.40268456375838924,0.8634087042422408,0.09958767979886668,0.3020935398372898,0.2739772093105642,149,,
May-Jul,ConformalBestPoint_ElasticNet,0.7919463087248322,1.422939978503379,0.10203671225080123,0.2573021310352364,0.13884210861160004,149,0.7114699892516894,0.5522646125222433
May-Aug,SklearnQuantileGBR,0.4697986577181208,0.8690170065155698,0.09526163846262109,0.3079330642226077,0.2742930049659967,149,,
May-Aug,LightGBMQuantile,0.33557046979865773,0.6498076398678192,0.0952387538080756,0.29610098511887356,0.3127686267882987,149,,
May-Aug,CatBoostQuantile,0.42953020134228187,0.7586498066060328,0.09414146888444092,0.29170704984849466,0.28909991257070583,149,,
May-Aug,ConformalBestPoint_ElasticNet,0.7114093959731543,1.25878874862055,0.09548110065445133,0.2617234388819227,0.16215224209866433,149,0.6293943743102752,0.47702537785621557
May-Sep,SklearnQuantileGBR,0.4697986577181208,0.8208368648696764,0.09481257011041691,0.3086565988212993,0.3162617218968332,149,,
May-Sep,LightGBMQuantile,0.348993288590604,0.5677668371566038,0.08936773898648163,0.2996772970514991,0.3393042079439227,149,,
May-Sep,CatBoostQuantile,0.42953020134228187,0.6760843570727627,0.09182349928398767,0.2932741999485811,0.32047758316958486,149,,
May-Sep,ConformalBestPoint_ElasticNet,0.7583892617449665,1.251473912652093,0.0925930112953208,0.23903590667037736,0.1531915199368908,149,0.6257369563260464,0.4391702441940389
May-Oct,SklearnQuantileGBR,0.37583892617449666,0.7358866269356246,0.10103195976010342,0.2560303612546349,0.26873934235291747,149,,
May-Oct,LightGBMQuantile,0.3422818791946309,0.616045305599021,0.10637461250622092,0.26652726282468914,0.26559264089244383,149,,
May-Oct,CatBoostQuantile,0.436241610738255,0.6932048286126439,0.0935978287828185,0.26597451545104367,0.2593880509825763,149,,
May-Oct,ConformalBestPoint_ElasticNet,0.7516778523489933,1.1253429913850335,0.08499001403159452,0.21938971673707702,0.1490195452007513,149,0.5626714956925167,0.42820618712602554
