percentile,crop,shortfall_threshold,train_rate,validation_rate,test_rate
70,Barley,0.19573068849647515,0.2986111111111111,0.125,0.16666666666666666
70,Canola,0.1019093428518558,0.3049645390070922,0.16666666666666666,0.16666666666666666
70,Lupins,0.1970554687111541,0.3046875,0.1,0.41379310344827586
70,Oats,0.13844926701479912,0.2986111111111111,0.20833333333333334,0.26666666666666666
70,Wheat,0.24703306997798236,0.2986111111111111,0.08333333333333333,0.2
80,Barley,0.33611435230825987,0.2013888888888889,0.125,0.16666666666666666
80,Canola,0.2353816885556447,0.20567375886524822,0.08333333333333333,0.06666666666666667
80,Lupins,0.2969567573004563,0.203125,0.1,0.3103448275862069
80,Oats,0.2312184882206343,0.2013888888888889,0.16666666666666666,0.2
80,Wheat,0.36392733682158834,0.2013888888888889,0.08333333333333333,0.16666666666666666
90,Barley,0.6231832382041556,0.10416666666666667,0.041666666666666664,0.06666666666666667
90,Canola,0.4324000170817575,0.10638297872340426,0.041666666666666664,0.06666666666666667
90,Lupins,0.47609934476391136,0.1015625,0.05,0.13793103448275862
90,Oats,0.47197060468202107,0.10416666666666667,0.0,0.03333333333333333
90,Wheat,0.5959570827211043,0.10416666666666667,0.0,0.16666666666666666
