rank,region,crop,year_start,forecast_window,y_proba,predicted_alert,low_yield_risk,yield_t_ha,expected_yield_t_ha,yield_shortfall,y_low,y_high,interval_width,suggested_use
1,Victoria,Oats,2018,May-Oct,1.0,1,1,1.2319521953909085,1.696646466341317,0.4646942709504085,1.098827131430701,2.2241701228157345,1.1253429913850335,Analyst review watch-list
2,New South Wales,Lupins,2018,May-Oct,1.0,1,1,0.4058460960576414,0.8157283218738556,0.4098822258162142,0.0532488616787534,1.1785918530637869,1.1253429913850335,Analyst review watch-list
3,Victoria,Lupins,2018,May-Oct,1.0,1,0,0.4908919282601273,0.7653430502270169,0.2744511219668896,0.3478064484929706,1.473149439878004,1.1253429913850335,Analyst review watch-list
4,Victoria,Canola,2018,May-Oct,1.0,1,0,1.2323794126873056,1.244546465999481,0.0121670533121753,0.5913291314203113,1.7166721228053448,1.1253429913850335,Analyst review watch-list
5,New South Wales,Wheat,2018,May-Oct,0.2727272727272727,1,1,0.776814236049158,1.7560779696827602,0.9792637336336022,0.9743471444064392,2.099690135791473,1.125342991385034,Analyst review watch-list
6,Queensland,Wheat,2019,May-Oct,0.2727272727272727,1,1,0.9478976254708626,1.904605744082908,0.9567081186120449,0.8178725126264372,1.9432155040114707,1.1253429913850335,Analyst review watch-list
7,Queensland,Wheat,2018,May-Oct,0.2727272727272727,1,1,0.9999475812312216,1.879622570246425,0.8796749890152039,1.0848485190287027,2.210191510413736,1.1253429913850335,Analyst review watch-list
8,Queensland,Barley,2019,May-Oct,0.2727272727272727,1,1,0.9949429686141,1.8594728888592729,0.8645299202451726,1.033884102262533,2.1592270936475666,1.1253429913850337,Analyst review watch-list
9,Tasmania,Oats,2019,May-Oct,0.2727272727272727,1,1,1.1796710248840152,1.9095316969420075,0.7298606720579923,1.344543081657849,2.4698860730428827,1.1253429913850337,Analyst review watch-list
10,Queensland,Canola,2018,May-Oct,0.2727272727272727,1,1,0.2997416020671834,0.9460475192060472,0.6463059171388637,0.2952018589373422,1.4205448503223757,1.1253429913850335,Analyst review watch-list
