fold,forecast_window,model,train_end,test_start,test_end,n_test,MAE,RMSE,R2
fold_1,May-Jun,Ridge,2007,2008,2011,118,0.4469149135819515,0.566911260619475,0.45586291793395095
fold_1,May-Jun,HistGradientBoosting,2007,2008,2011,118,0.3792499117032563,0.47249595203294464,0.6220151957270197
fold_1,May-Jul,Ridge,2007,2008,2011,118,0.39706930486532865,0.5298628876651987,0.5246591260405085
fold_1,May-Jul,HistGradientBoosting,2007,2008,2011,118,0.3531626727622185,0.46204701633852197,0.6385481127823055
fold_1,May-Aug,Ridge,2007,2008,2011,118,0.3914073263663348,0.5358796413212095,0.5138025548697089
fold_1,May-Aug,HistGradientBoosting,2007,2008,2011,118,0.38500728902733683,0.49832967307117587,0.5795526181766575
fold_1,May-Sep,Ridge,2007,2008,2011,118,0.39776193786348896,0.5233781872211754,0.5362228006606355
fold_1,May-Sep,HistGradientBoosting,2007,2008,2011,118,0.3351431473638098,0.4501575332294543,0.6569106785601925
fold_1,May-Oct,Ridge,2007,2008,2011,118,0.3480987335788929,0.49901966291449884,0.5783875048838318
fold_1,May-Oct,HistGradientBoosting,2007,2008,2011,118,0.2516727711640184,0.3584981654822871,0.7824034368350982
fold_2,May-Jun,Ridge,2011,2012,2015,114,0.48856670271918073,0.6754844859184549,0.46005011453578537
fold_2,May-Jun,HistGradientBoosting,2011,2012,2015,114,0.36979686373617043,0.4926327099205458,0.7128100848808834
fold_2,May-Jul,Ridge,2011,2012,2015,114,0.46311142404733263,0.6686425961519457,0.4709328757441308
fold_2,May-Jul,HistGradientBoosting,2011,2012,2015,114,0.37180175527710224,0.5032074115066,0.7003482946700272
fold_2,May-Aug,Ridge,2011,2012,2015,114,0.4129220305633961,0.6220600554665853,0.5420824113593409
fold_2,May-Aug,HistGradientBoosting,2011,2012,2015,114,0.33537343918790563,0.43731122686283763,0.7736898932796443
fold_2,May-Sep,Ridge,2011,2012,2015,114,0.40268668822992093,0.6020073215267496,0.5711294331691252
fold_2,May-Sep,HistGradientBoosting,2011,2012,2015,114,0.32258017818746376,0.43134391583581777,0.7798239638123079
fold_2,May-Oct,Ridge,2011,2012,2015,114,0.4257729899460565,0.6257426446555749,0.5366446281353248
fold_2,May-Oct,HistGradientBoosting,2011,2012,2015,114,0.377828512729745,0.5268227893560482,0.6715632072377888
fold_3,May-Jun,Ridge,2015,2016,2019,120,0.631810015062263,0.8571063038051926,0.4432110078081405
fold_3,May-Jun,HistGradientBoosting,2015,2016,2019,120,0.5927544416179712,0.7973568809913628,0.5181334773925779
fold_3,May-Jul,Ridge,2015,2016,2019,120,0.5842202920563129,0.810697504272029,0.5018743169966873
fold_3,May-Jul,HistGradientBoosting,2015,2016,2019,120,0.6149553695234088,0.9558881196297538,0.3074751050937873
fold_3,May-Aug,Ridge,2015,2016,2019,120,0.5249394365871697,0.7720054510126162,0.5482876174603657
fold_3,May-Aug,HistGradientBoosting,2015,2016,2019,120,0.5115901229154994,0.8001540278034375,0.514746749097968
fold_3,May-Sep,Ridge,2015,2016,2019,120,0.5673106186340556,0.819094970073886,0.49150137823190876
fold_3,May-Sep,HistGradientBoosting,2015,2016,2019,120,0.4634739531889973,0.737473382294422,0.5877943294306376
fold_3,May-Oct,Ridge,2015,2016,2019,120,0.5058682070498725,0.7578748354022378,0.5646723664776218
fold_3,May-Oct,HistGradientBoosting,2015,2016,2019,120,0.468338284525803,0.7350609177418158,0.5904867792793509
