forecast_window,feature_set,model,feature_group,n_features,baseline_rmse,rmse_delta_mean,rmse_delta_std
May-Jun,full_operational,Ridge,lag_yield,3,0.7470145760044083,0.6276302833086375,0.025080919129723173
May-Jun,full_operational,Ridge,soil,22,0.7470145760044083,0.10765892609433816,0.005585182926701757
May-Jun,full_operational,Ridge,categorical_time,3,0.7470145760044083,0.035123071108040804,0.005944777770908509
May-Jun,full_operational,Ridge,weather_anomaly,18,0.7470145760044083,0.02012823292078101,0.011690393312590301
May-Jun,full_operational,Ridge,heat_cold,11,0.7470145760044083,0.015522823850144673,0.016912632200692702
May-Jun,weather_anomaly_soil_no_lag,Ridge,soil,22,1.0124951656655747,0.24683064192802323,0.020781925343475803
May-Jun,weather_anomaly_soil_no_lag,Ridge,categorical_time,3,1.0124951656655747,0.175308669564667,0.018309740597877502
May-Jun,weather_anomaly_soil_no_lag,Ridge,rainfall,12,1.0124951656655747,0.03482690204851786,0.010414498693970594
May-Jun,weather_anomaly_soil_no_lag,Ridge,weather_anomaly,18,1.0124951656655747,0.0011866778806157497,0.011993579927822675
May-Jun,weather_anomaly_soil_no_lag,Ridge,compound_stress,3,1.0124951656655747,0.000625428295083097,0.002757933789263548
May-Oct,full_operational,Ridge,lag_yield,3,0.657593833293215,0.5803085227853051,0.032279144486707795
May-Oct,full_operational,Ridge,heat_cold,11,0.657593833293215,0.2618189149308495,0.032645071983999505
May-Oct,full_operational,Ridge,energy_dryness,8,0.657593833293215,0.06779833986024567,0.016106131388024435
May-Oct,full_operational,Ridge,soil,22,0.657593833293215,0.04425368284768205,0.007603176166187086
May-Oct,full_operational,Ridge,weather_anomaly,18,0.657593833293215,0.03833255405543727,0.011485986483767316
May-Oct,weather_anomaly_soil_no_lag,Ridge,categorical_time,3,0.888667427208413,0.21321928803545984,0.03321135131420166
May-Oct,weather_anomaly_soil_no_lag,Ridge,heat_cold,11,0.888667427208413,0.17297792511116422,0.02508451239291136
May-Oct,weather_anomaly_soil_no_lag,Ridge,soil,22,0.888667427208413,0.1522045883548368,0.013316329265467415
May-Oct,weather_anomaly_soil_no_lag,Ridge,rainfall,12,0.888667427208413,0.12450505924213066,0.016832479849872677
May-Oct,weather_anomaly_soil_no_lag,Ridge,energy_dryness,8,0.888667427208413,0.021007619033491066,0.011811981564885245
May-Sep,full_operational,Ridge,lag_yield,3,0.7048987663980497,0.6098389027843536,0.02163380753393681
May-Sep,full_operational,Ridge,heat_cold,11,0.7048987663980497,0.1538938211086946,0.04183845618970089
May-Sep,full_operational,Ridge,weather_anomaly,18,0.7048987663980497,0.07020399042057242,0.014511139175674528
May-Sep,full_operational,Ridge,compound_stress,3,0.7048987663980497,0.06834141765063499,0.006906565738343842
May-Sep,full_operational,Ridge,soil,22,0.7048987663980497,0.06505015631263786,0.01071610003376665
May-Sep,weather_anomaly_soil_no_lag,Ridge,categorical_time,3,0.9654341755196786,0.18857511766345586,0.030002579760108075
May-Sep,weather_anomaly_soil_no_lag,Ridge,soil,22,0.9654341755196786,0.16790631970277367,0.007951571028631477
May-Sep,weather_anomaly_soil_no_lag,Ridge,heat_cold,11,0.9654341755196786,0.15234391418723636,0.00918444762992608
May-Sep,weather_anomaly_soil_no_lag,Ridge,rainfall,12,0.9654341755196786,0.10884216474072209,0.016936296338878075
May-Sep,weather_anomaly_soil_no_lag,Ridge,compound_stress,3,0.9654341755196786,0.03272964641916585,0.0033832708388469566
