forecast_window,feature_set,model,MAE,R2,RMSE
May-Aug,full_operational,ElasticNet,0.523443604866299,0.6638366980318446,0.7339010096291269
May-Aug,lag_yield_only,CatBoost,0.5927607418045674,0.600402837863486,0.8001539110049523
May-Aug,identity_time_only,LightGBM,0.6273298807549812,0.543174224767377,0.855534711152426
May-Aug,weather_plus_soil,CatBoost,0.6040036738610873,0.47360115691611004,0.918374460541949
May-Aug,weather_stage_only,LightGBM,0.5960735285441191,0.43976159596714615,0.9474335785799931
May-Aug,weather_anomaly_soil_no_lag,LightGBM,0.6211426869933483,0.40663460697241394,0.9750422648289532
May-Aug,weather_plus_anomaly,LightGBM,0.6277988276789556,0.400148199199316,0.9803571445077324
May-Jul,full_operational,ElasticNet,0.5146227792386395,0.6927508065379347,0.7016292896596281
May-Jul,lag_yield_only,CatBoost,0.5927607418045674,0.600402837863486,0.8001539110049523
May-Jul,identity_time_only,LightGBM,0.6273298807549812,0.543174224767377,0.855534711152426
May-Jul,weather_plus_soil,Ridge,0.6275396631578994,0.45325310505908756,0.9359561392795682
May-Jul,weather_stage_only,Ridge,0.6334934054891468,0.44313703535127846,0.9445751203265406
May-Jul,weather_anomaly_soil_no_lag,CatBoost,0.6689432539830402,0.42261861804555234,0.961819820617607
May-Jul,weather_plus_anomaly,ElasticNet,0.6642889363385945,0.38615406892264736,0.9917267447951618
May-Jun,full_operational,ElasticNet,0.5448993400953628,0.675600500714467,0.7209454782432281
May-Jun,lag_yield_only,CatBoost,0.5927607418045674,0.600402837863486,0.8001539110049523
May-Jun,identity_time_only,LightGBM,0.6273298807549812,0.543174224767377,0.855534711152426
May-Jun,weather_plus_soil,CatBoost,0.6623200206678131,0.48002844635175235,0.9127506002866078
May-Jun,weather_stage_only,LightGBM,0.6485371344535367,0.4719079520202275,0.9198502879656464
May-Jun,weather_anomaly_soil_no_lag,LightGBM,0.6584855637474262,0.4701969304215309,0.9213392432804131
May-Jun,weather_plus_anomaly,LightGBM,0.6724871437589642,0.4591075158668775,0.9309316764004447
May-Oct,full_operational,Ridge,0.4236564868153168,0.7301075135523823,0.657593833293215
May-Oct,lag_yield_only,CatBoost,0.5927607418045674,0.600402837863486,0.8001539110049523
May-Oct,identity_time_only,LightGBM,0.6273298807549812,0.543174224767377,0.855534711152426
May-Oct,weather_plus_soil,CatBoost,0.570203708083827,0.5325863955457195,0.8653922649220995
May-Oct,weather_stage_only,LightGBM,0.5648665704309089,0.5217981174071379,0.8753222649488297
May-Oct,weather_plus_anomaly,Ridge,0.5361879544400127,0.5072152090640858,0.8885686414334282
May-Oct,weather_anomaly_soil_no_lag,Ridge,0.5362645525274213,0.5071056332109963,0.888667427208413
May-Sep,full_operational,ElasticNet,0.4781146305008212,0.6904791112590918,0.7042183161806282
May-Sep,lag_yield_only,CatBoost,0.5927607418045674,0.600402837863486,0.8001539110049523
May-Sep,identity_time_only,LightGBM,0.6273298807549812,0.543174224767377,0.855534711152426
May-Sep,weather_plus_soil,CatBoost,0.6001860603742041,0.48757699612001515,0.9061010709152536
May-Sep,weather_stage_only,LightGBM,0.5941458853294067,0.48722725231328623,0.906410238516941
May-Sep,weather_anomaly_soil_no_lag,LightGBM,0.621128939100965,0.4411609657742742,0.9462495836271952
May-Sep,weather_plus_anomaly,LightGBM,0.6229174209171894,0.4367043497885994,0.9500151552606386
